,name,qid,measure,value
146,qrels_colbert-pubmed-bert-rankings_at_10,131,ndcg_cut_10,0.5681283072172433
147,qrels_colbert-pubmed-bert-rankings_at_10,132,map,0.08411214953271028
148,qrels_colbert-pubmed-bert-rankings_at_10,132,bpref,0.08411214953271028
149,qrels_colbert-pubmed-bert-rankings_at_10,132,ndcg_cut_10,0.7624233061190078
150,qrels_colbert-pubmed-bert-rankings_at_10,133,map,
151,qrels_colbert-pubmed-bert-rankings_at_10,133,bpref,
152,qrels_colbert-pubmed-bert-rankings_at_10,133,ndcg_cut_10,
153,qrels_colbert-pubmed-bert-rankings_at_10,141,map,
154,qrels_colbert-pubmed-bert-rankings_at_10,141,bpref,
155,qrels_colbert-pubmed-bert-rankings_at_10,141,ndcg_cut_10,
156,qrels_colbert-pubmed-bert-rankings_at_10,146,map,
157,qrels_colbert-pubmed-bert-rankings_at_10,146,bpref,
158,qrels_colbert-pubmed-bert-rankings_at_10,146,ndcg_cut_10,
159,qrels_colbert-pubmed-bert-rankings_at_10,147,map,
160,qrels_colbert-pubmed-bert-rankings_at_10,147,bpref,
161,qrels_colbert-pubmed-bert-rankings_at_10,147,ndcg_cut_10,
162,qrels_colbert-pubmed-bert-rankings_at_10,150,map,
163,qrels_colbert-pubmed-bert-rankings_at_10,150,bpref,
164,qrels_colbert-pubmed-bert-rankings_at_10,150,ndcg_cut_10,
6,qrels_colbert-pubmed-bert-rankings_at_10,22,map,0.04620946538124452
7,qrels_colbert-pubmed-bert-rankings_at_10,22,bpref,0.04879768704604753
8,qrels_colbert-pubmed-bert-rankings_at_10,22,ndcg_cut_10,0.46435571483314786
9,qrels_colbert-pubmed-bert-rankings_at_10,35,map,0.052795031055900624
10,qrels_colbert-pubmed-bert-rankings_at_10,35,bpref,0.08506616257088846
11,qrels_colbert-pubmed-bert-rankings_at_10,35,ndcg_cut_10,0.42099331365408826
12,qrels_colbert-pubmed-bert-rankings_at_10,45,map,0.0
13,qrels_colbert-pubmed-bert-rankings_at_10,45,bpref,0.0
14,qrels_colbert-pubmed-bert-rankings_at_10,45,ndcg_cut_10,0.0
15,qrels_colbert-pubmed-bert-rankings_at_10,51,map,0.03091216216216216
16,qrels_colbert-pubmed-bert-rankings_at_10,51,bpref,0.04636989931107578
17,qrels_colbert-pubmed-bert-rankings_at_10,51,ndcg_cut_10,0.3975339326544653
18,qrels_colbert-pubmed-bert-rankings_at_10,52,map,0.00851063829787234
19,qrels_colbert-pubmed-bert-rankings_at_10,52,bpref,0.03157537347215935
20,qrels_colbert-pubmed-bert-rankings_at_10,52,ndcg_cut_10,0.14573058135211572
21,qrels_colbert-pubmed-bert-rankings_at_10,53,map,0.0027100271002710027
22,qrels_colbert-pubmed-bert-rankings_at_10,53,bpref,0.022605591909577633
23,qrels_colbert-pubmed-bert-rankings_at_10,53,ndcg_cut_10,0.06625422345438903
24,qrels_colbert-pubmed-bert-rankings_at_10,54,map,0.0
25,qrels_colbert-pubmed-bert-rankings_at_10,54,bpref,0.0
26,qrels_colbert-pubmed-bert-rankings_at_10,54,ndcg_cut_10,0.0
27,qrels_colbert-pubmed-bert-rankings_at_10,55,map,0.0011904761904761904
28,qrels_colbert-pubmed-bert-rankings_at_10,55,bpref,0.008333333333333333
29,qrels_colbert-pubmed-bert-rankings_at_10,55,ndcg_cut_10,0.07336392209936005
30,qrels_colbert-pubmed-bert-rankings_at_10,57,map,0.0
31,qrels_colbert-pubmed-bert-rankings_at_10,57,bpref,0.0
32,qrels_colbert-pubmed-bert-rankings_at_10,57,ndcg_cut_10,0.0
33,qrels_colbert-pubmed-bert-rankings_at_10,58,map,0.0031746031746031746
34,qrels_colbert-pubmed-bert-rankings_at_10,58,bpref,0.009523809523809525
35,qrels_colbert-pubmed-bert-rankings_at_10,58,ndcg_cut_10,0.14924501763837775
36,qrels_colbert-pubmed-bert-rankings_at_10,59,map,0.00869304556354916
37,qrels_colbert-pubmed-bert-rankings_at_10,59,bpref,0.02158273381294964
38,qrels_colbert-pubmed-bert-rankings_at_10,59,ndcg_cut_10,0.24749280029966947
39,qrels_colbert-pubmed-bert-rankings_at_10,62,map,0.029017857142857144
40,qrels_colbert-pubmed-bert-rankings_at_10,62,bpref,0.03571428571428571
41,qrels_colbert-pubmed-bert-rankings_at_10,62,ndcg_cut_10,0.48845818550957415
42,qrels_colbert-pubmed-bert-rankings_at_10,63,map,0.005117565698478562
43,qrels_colbert-pubmed-bert-rankings_at_10,63,bpref,0.016597510373443983
44,qrels_colbert-pubmed-bert-rankings_at_10,63,ndcg_cut_10,0.2940945979596688
45,qrels_colbert-pubmed-bert-rankings_at_10,68,map,0.09668534080298787
46,qrels_colbert-pubmed-bert-rankings_at_10,68,bpref,0.11534025374855826
47,qrels_colbert-pubmed-bert-rankings_at_10,68,ndcg_cut_10,0.5661232061388705
48,qrels_colbert-pubmed-bert-rankings_at_10,72,map,0.0
49,qrels_colbert-pubmed-bert-rankings_at_10,72,bpref,0.0
50,qrels_colbert-pubmed-bert-rankings_at_10,72,ndcg_cut_10,0.0
51,qrels_colbert-pubmed-bert-rankings_at_10,77,map,0.0
52,qrels_colbert-pubmed-bert-rankings_at_10,77,bpref,0.0
53,qrels_colbert-pubmed-bert-rankings_at_10,77,ndcg_cut_10,0.0
54,qrels_colbert-pubmed-bert-rankings_at_10,79,map,0.008333333333333333
55,qrels_colbert-pubmed-bert-rankings_at_10,79,bpref,0.016666666666666666
56,qrels_colbert-pubmed-bert-rankings_at_10,79,ndcg_cut_10,0.08421358772610596
3,qrels_colbert-pubmed-bert-rankings_at_10,8,map,0.045454545454545456
4,qrels_colbert-pubmed-bert-rankings_at_10,8,bpref,0.05388429752066116
5,qrels_colbert-pubmed-bert-rankings_at_10,8,ndcg_cut_10,0.43735247915031
57,qrels_colbert-pubmed-bert-rankings_at_10,81,map,0.01
58,qrels_colbert-pubmed-bert-rankings_at_10,81,bpref,0.02
59,qrels_colbert-pubmed-bert-rankings_at_10,81,ndcg_cut_10,0.06943122193677727
60,qrels_colbert-pubmed-bert-rankings_at_10,83,map,0.03228291316526611
