docid	readability_score_transformer	flesch_reading_ease	text_standard
72b6c054-8d7a-47ce-820b-4d33191322c2	-2.7733333110809326	29.25	16.0
093defde-bbf9-4ba8-9071-e98aa91bf48f	-2.4290804862976074	36.28	17.0
cda96043-9b1b-446b-8cdb-30503b3ab66f	-2.8032350540161133	19.16	13.0
d9e5ebd1-e045-43fe-8a27-16b202dd7a5f	-2.615334987640381	21.9	16.0
3591c5f5-f9b7-49c1-b105-9a480747d090	-2.559736728668213	38.82	12.0
a0f5e3b9-0fc9-4bd4-a85f-6b270f7c57e6	-2.8122811317443848	23.12	14.0
5db70554-401a-4d0c-a803-95b70744068e	-2.783956527709961	23.32	15.0
b2ae9c93-b4db-4538-8711-87be8ae270a0	-2.780139923095703	29.96	13.0
43b2c49f-a283-4361-89f0-3c251052bffb	-2.7319397926330566	38.11	12.0
59465708-e4a8-4a0f-9f29-ddf3bbc8f1de	-2.7615795135498047	28.33	16.0
9abbc956-1b2a-40c4-b101-4dbf70670003	-2.825115203857422	30.46	13.0
a428e568-d8c8-4b61-8c6d-f11b4cba0181	-2.796400785446167	28.33	16.0
b5f1ee42-3291-4044-be4b-17c6a33b6148	-2.7722108364105225	21.8	19.0
3c731bee-67b0-4dda-9727-0e65d8bdd89e	-2.800159454345703	29.86	13.0
271fd599-7a9c-4d1e-b409-4a923fcd87c4	-2.642106056213379	27.11	16.0
1280aa90-dcdb-4738-81aa-41f9ed3d0e03	-2.7622008323669434	21.4	19.0
0c5b3ca9-6026-4aca-b8ab-49423d495624	-2.7493233680725098	23.12	9.0
7dc5d604-815a-4514-a768-7a5a0a5cc4bb	-2.8460335731506348	31.28	13.0
18cd8f8b-2d00-463e-835b-9864afdc750d	-2.792776107788086	19.16	15.0
6809974e-e2ff-4122-9529-954ca50e33f3	-2.718916893005371	13.28	19.0
b4ef03d6-ab80-4462-91cf-1329ac696ed3	-2.8394625186920166	44.64	12.0
54afb72a-3231-416a-9bd7-36f1f17d8017	-2.740006685256958	21.4	19.0
1c84017d-0a93-417c-8758-55353f52bce5	-2.7229044437408447	29.14	19.0
510f0c8b-17a6-4b21-a132-11b44b771ea5	-2.8014721870422363	21.29	15.0
9d7bbbb6-9d3c-45ad-89f7-9620ac774e5e	-2.818977117538452	21.8	15.0
5eac6451-a85d-40d1-9807-977047656239	-2.7267494201660156	21.8	20.0
fdfc426f-0855-42dc-9c39-3a759a2b3eb2	-2.6262996196746826	30.06	13.0
0d98910b-1b8d-407b-8cfd-f307b360f619	-2.7669520378112793	30.36	9.0
e82227b5-136a-4cfa-b033-e74e8dee3bc8	-2.8032350540161133	19.16	13.0
b0d7e961-e808-428b-bfa2-03e2d61542a8	-2.6120052337646484	36.18	16.0
bccbee43-78c2-4c22-aba8-ed9d722c321b	-2.741943836212158	20.68	19.0
1829b0f2-91b0-4d38-b717-ae4da601ad41	-2.5948948860168457	45.76	14.0
9cbb052e-ec45-4f76-8938-602f9f9b10f9	-2.7439565658569336	21.4	16.0
2c7c597f-8d47-49c8-a7f4-0cbcee6b995e	-2.7196693420410156	42.11	13.0
e05d064f-ded1-44d3-a378-b10eb46b9f06	-2.303112030029297	35.98	15.0
cc58cb2b-75e2-4cc1-ba64-7d0d20cfd848	-2.7660562992095947	20.38	20.0
551f6d92-27b7-4ff0-a289-07471ede04be	-2.7913851737976074	22.61	20.0
f1c55766-2558-48ca-a56e-772ff94acd9c	-2.763254165649414	22.21	14.0
37e291df-93e4-4d0f-86b4-2ecf7bbb9527	-2.7441697120666504	21.5	19.0
defabc1f-212e-44be-88c1-4cefe8a5b56b	-2.6718554496765137	45.86	14.0
aa762af2-7306-45cb-bf83-1075525bc68d	-2.601271152496338	21.09	16.0
924052f6-e7f6-4938-8871-8d6724f13d4f	-2.6427831649780273	27.72	18.0
ec656ce8-3808-4fc2-8b48-c9034d6929c5	-2.6334221363067627	21.7	16.0
adcebfbf-6a99-4bb8-9777-1542128b7e52	-2.708749532699585	21.6	20.0
72ee291b-cf90-4088-ba0d-addcd0c02221	-2.7531723976135254	30.06	19.0
100eddad-de3f-4325-bbd2-1199b3eff6c3	-2.7712793350219727	20.58	15.0
1d465772-e6e0-4194-b480-ba3b63198f67	-2.7445056438446045	21.4	19.0
50748fc0-ca71-4f4a-894d-8055b6f900e8	-2.7755308151245117	22.61	14.0
4a92606e-0d4a-4cc3-9715-7203d869eb48	-2.7161130905151367	22.11	19.0
8e46c789-06a2-4be9-ab7e-98333fa25782	-2.83878231048584	23.12	14.0
84aecb18-4c44-478e-ae1f-eb384301a3dc	-2.5762767791748047	18.45	20.0
6939b33a-c0f1-4efe-96e8-0008160a6b87	-2.7924013137817383	19.16	20.0
17db1f76-c81b-4dba-9aeb-24ebdf7012f6	-2.722090482711792	22.0	14.0
9d26b158-4fbf-4ab0-9d3e-99314b19dfe0	-2.801889181137085	21.19	16.0
cad780e6-1eb5-49c1-b08b-1be20fae25f5	-2.717684745788574	22.11	19.0
